,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,conf_death,prob_death
887,2021-05-10T00:00:00.000,NC,982890,839642.0,143248,598.0,184,13137,5.0,3,2021-05-10T00:00:00.000,Agree,Agree,11591.0,1546
888,2021-05-10T00:00:00.000,MO,590908,,,399.0,141,8985,2.0,0,2021-05-12T00:00:00.000,Not agree,Not agree,,
889,2020-11-08T00:00:00.000,ME,7897,7031.0,866,205.0,15,152,0.0,0,2020-11-09T14:38:54.660,Agree,Agree,151.0,1
890,2020-05-29T00:00:00.000,DE,9554,8671.0,883,157.0,3,361,5.0,1,2020-05-31T00:00:00.000,Agree,Agree,337.0,24
891,2020-12-05T00:00:00.000,ND,82981,82981.0,0,477.0,0,1013,6.0,0,2020-12-06T14:51:16.617,Agree,Not agree,,
892,2020-08-11T00:00:00.000,ME,4069,3661.0,408,19.0,2,126,0.0,0,2020-08-12T13:50:14.465,Agree,Agree,125.0,1
893,2021-01-26T00:00:00.000,AL,473734,369979.0,103755,2910.0,926,9240,76.0,16,2021-01-28T00:00:00.000,Agree,Agree,7410.0,1830
894,2020-02-04T00:00:00.000,MS,0,,,0.0,,0,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
895,2020-11-09T00:00:00.000,ID,74227,63911.0,10316,1266.0,120,698,12.0,2,2020-11-10T14:45:45.196,Agree,Agree,646.0,52
896,2021-05-30T00:00:00.000,WI,674279,610039.0,64240,138.0,12,7830,0.0,0,2021-05-31T13:43:43.522,Agree,Agree,7053.0,777
897,2020-02-16T00:00:00.000,NV,0,,,0.0,,0,0.0,,2020-03-26T16:22:39.452,,,,
898,2020-05-19T00:00:00.000,ID,2476,2253.0,223,21.0,1,77,3.0,0,2020-05-20T15:28:26.000,Agree,Agree,77.0,0
899,2020-12-20T00:00:00.000,VI,1921,,,0.0,0,23,0.0,0,2020-12-21T14:39:53.673,,,,
900,2020-07-09T00:00:00.000,VI,153,,,9.0,0,6,0.0,0,2020-07-10T15:35:06.524,,,,
901,2021-02-05T00:00:00.000,IN,635816,,,1493.0,0,12278,33.0,1,2021-02-05T00:00:00.000,Not agree,Agree,11892.0,386
902,2020-03-12T00:00:00.000,MS,157,152.0,5,35.0,0,13,2.0,0,2020-03-14T00:00:00.000,Agree,Agree,12.0,1
903,2021-07-16T00:00:00.000,NC,1024302,869998.0,154304,1151.0,309,13600,6.0,1,2021-07-16T00:00:00.000,Agree,Agree,11990.0,1610
904,2020-04-26T00:00:00.000,CA,55059,54998.0,61,2006.0,2,2069,79.0,0,2021-09-10T12:34:44.799,Agree,Agree,2069.0,0
905,2020-11-06T00:00:00.000,NH,12012,,,204.0,63,488,2.0,0,2020-11-07T14:45:17.940,Not agree,Not agree,,
906,2020-12-10T00:00:00.000,MS,178054,133395.0,44659,2108.0,1136,4779,37.0,18,2020-12-12T00:00:00.000,Agree,Agree,3857.0,922
907,2020-02-12T00:00:00.000,IN,0,,,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Agree,,
908,2020-09-13T00:00:00.000,NV,73766,,,317.0,0,1487,3.0,0,2020-09-14T14:01:21.851,,,,
909,2020-12-21T00:00:00.000,AL,346330,279139.0,67191,5947.0,1819,6484,66.0,21,2020-12-23T00:00:00.000,Agree,Agree,5369.0,1115
910,2021-01-02T00:00:00.000,MO,453523,,,2722.0,584,6938,39.0,0,2021-01-04T00:00:00.000,Not agree,Not agree,,
911,2020-07-04T00:00:00.000,IL,147734,146612.0,1122,862.0,0,7224,9.0,0,2020-07-05T15:00:14.391,Agree,Agree,7014.0,210
912,2020-10-09T00:00:00.000,MD,130795,,,636.0,0,4128,8.0,0,2020-10-11T00:00:00.000,N/A,Agree,3971.0,157
913,2021-07-10T00:00:00.000,ME,69219,50636.0,18583,1.0,0,862,0.0,0,2021-07-12T13:16:46.339,Agree,Agree,831.0,31
914,2020-06-07T00:00:00.000,VI,71,,,0.0,0,6,0.0,0,2020-06-08T14:55:08.000,,,,
915,2020-06-08T00:00:00.000,IN,37623,,,226.0,0,2454,16.0,0,2020-06-08T00:00:00.000,Not agree,Agree,2269.0,185
916,2020-03-06T00:00:00.000,MD,3,,,0.0,,0,0.0,0,2020-03-08T00:00:00.000,N/A,Agree,0.0,0
917,2020-05-05T00:00:00.000,DE,6011,5802.0,209,165.0,53,187,5.0,0,2020-05-07T00:00:00.000,Agree,Agree,187.0,0
918,2021-05-30T00:00:00.000,NE,223490,,,13.0,0,2249,0.0,0,2021-06-01T00:00:00.000,Not agree,Not agree,,
919,2021-06-26T00:00:00.000,ME,68969,50452.0,18517,6.0,1,858,0.0,0,2021-06-28T13:23:06.921,Agree,Agree,827.0,31
920,2021-04-12T00:00:00.000,MS,308875,189526.0,119349,375.0,197,7242,14.0,13,2021-04-14T00:00:00.000,Agree,Agree,4997.0,2245
921,2021-07-03T00:00:00.000,DE,109846,102225.0,7621,26.0,3,1695,0.0,0,2021-07-05T13:25:13.278,Agree,Agree,1550.0,145
922,2020-07-23T00:00:00.000,CA,516580,515022.0,1558,10174.0,69,9527,138.0,0,2020-07-23T00:00:00.000,Agree,Agree,9527.0,0
923,2020-06-04T00:00:00.000,MI,101813,93189.0,8624,860.0,168,6019,24.0,1,2020-06-05T00:00:00.000,Agree,Agree,5716.0,303
924,2020-01-22T00:00:00.000,NH,0,,,0,,0,0,,2020-03-26T16:22:39.452,Not agree,Not agree,,
925,2021-03-05T00:00:00.000,IL,1194702,1194702.0,0,1442.0,0,22946,44.0,12,2021-03-06T15:08:48.630,Agree,Agree,20700.0,2246
926,2021-02-24T00:00:00.000,CA,3633565,3497741.0,135824,5058.0,350,58369,191.0,0,2021-02-24T00:00:00.000,Agree,Agree,58369.0,0
927,2021-03-31T00:00:00.000,MI,798938,719382.0,79556,6914.0,862,17305,39.0,3,2021-04-01T00:00:00.000,Agree,Agree,16264.0,1041
928,2020-09-26T00:00:00.000,MD,123403,,,431.0,0,4047,7.0,0,2020-09-28T00:00:00.000,N/A,Agree,3891.0,156
929,2020-12-21T00:00:00.000,IL,905069,905069.0,0,4699.0,0,16527,120.0,23,2020-12-22T14:35:48.855,Agree,Agree,15299.0,1228
930,2021-03-25T00:00:00.000,MO,565035,,,555.0,197,8755,9.0,0,2021-03-27T00:00:00.000,Not agree,Not agree,,
931,2020-03-03T00:00:00.000,NE,0,,,0.0,,0,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree,,
932,2020-03-31T00:00:00.000,NV,1113,,,69.0,,26,9.0,,2020-03-30T16:22:39.452,,,,
933,2021-04-26T00:00:00.000,WA,397286,,,1076.0,259,5450,16.0,0,2021-04-28T00:00:00.000,N/A,N/A,,
934,2020-08-04T00:00:00.000,CT,50110,48142.0,1968,48.0,-1,4437,0.0,0,2020-08-05T14:13:18.333,Agree,Agree,3555.0,882
935,2021-06-25T00:00:00.000,IN,752699,,,304.0,0,13874,5.0,0,2021-06-25T00:00:00.000,Not agree,Agree,13448.0,426
936,2020-12-23T00:00:00.000,CA,2179653,2116435.0,63218,50742.0,2461,27598,493.0,0,2020-12-23T00:00:00.000,Agree,Agree,27598.0,0
